X,Y,Well,tie_pt_1,tie_pt_2,tie_pt_3,tie_pt_4,tie_pt_5,tie_pt_6
1662465.336,6365980.89,Altajme,325.24,280.2,136.77,8,NA,NA
1670487,6360752,Bofride_1,361.7,327.2,216.2,187,130.5,NA
1660944,6344417,Dalsviden_1,353.56,319.64,231.27,202.5,125.6,NA
1675458,6350616,Djaupdy_1,366,336.4,250.1,222.2,113.9,62.2
1655703,6322416,Faludden_2,458.49,405.47,309.28,279,235.37,110.62
1644364,6316651,Gervalds_1,412.73,375.45,277.9,246,198.92,69.12
1665362,6349113,Glaves_1,368.2,333.8,239.4,206.7,122,NA
1660138,6335746,Grotlingbo_2,389.57,344.07,254.62,NA,149.32,26.58
1674764,6352755,Hammaren_1,381.02,338.58,245.82,209.5,121.18,30
1656198,6349003,Hemse_1,349.09,309.62,208.3,167,114.9,NA
1646554,6321248,Kastelle_1,423.84,380.18,285.33,261,199.38,73.62
1657906,6335536,Kauparve_1,398.29,356.53,265.87,243.5,154.75,41.37
1659273,6335899,Klasen_1,400,358.4,269.1,242.2,156.3,49
1645813,6319704,Kvarne_1,430,377.23,279.41,258.5,200.88,73.89
1646331,6319877,Kvarne_2,421.18,377.23,279.41,256.5,200.88,73.89
1670030,6354383,Lau_1,360,322.4,219.4,196,74.4,NA
1652237,6317891,Linhatte_1,482.8,428.48,328.23,306.5,259,131.8
1663320,6345563,Lukse_2,357,311,221,197,114.5,NA
1671193,6350654,Maldes_1,376,333,240,206,120,NA
1669769,6350160,Mattise_1,347.57,320.33,230.61,200,112.79,NA
1675330,6352841,Nyudden_1,390.83,347.48,254.8,222,130.9,32.12
1673659,6352678,Nyudden_2,380.45,338.7,243.04,210,121.18,31.69
1685649,6370272,Ostergarn_1,380,344.3,226,192.7,133.7,NA
1657840,6343430,Ostris_1,355.32,325.7,240.3,208,129.14,28.92
1643596,6338729,Pete_1,299,261.46,168,145,57,NA
1669092,6401734,Rings_1,251.26,190.57,NA,NA,NA,NA
1651662,6320212,Rojrviken_1,451.23,411.17,313.35,292,239.34,115.36
1661911,6341637,Ronehamn_1,383,341.1,252.4,226.6,166,32
1645974,6370177,Sanda_1,223.28,200.4,NA,NA,NA,NA
1664442,6350284,Sigdes_1,348.89,318.46,225.24,191.5,97.2,NA
1647050,6346654,Silte_1,297.7,256.8,154,131.4,NA,NA
1654208,6319914,Sindarve_1,484.82,426.79,329.52,307.5,259.4,133.28
1658244,6398940,Skaggs_1,233.86,173.53,NA,NA,NA,NA
1645247,6329560,Skals_1,360.73,315.41,224.88,197,119.31,33.74
1649541,6332097,Skarsbod_1,350.21,324.18,236.62,196,132.89,NA
1648178,6319293,Storms_1,440.17,396.47,300.01,278,226.72,98.52
1651133.861,6320497.252,StSutarve_2018,467.75,410.29,311.67,291.62,236.62,115.59
1644533,6314706,Sundre_1_A,460.07,401.7,298,276,228,99
1644533,6314706,Sundre_1_B,462.87,415.85,303.61,280,230.66,99
1646136,6315815,Vannes_1,428.72,390.49,295.1,273,225.54,98.78
1652152,6328478,Vastergarde_1,398.18,357.11,266.59,245,169.39,52.13
1682657,6372151,Vike_1,340,304,164,10,NA,NA
